Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1         0.579965    0.579965   1          0.734149
2         0.579965    0.579965   1          0.734149
3         0.579225    0.582721   0.963526   0.726231
4         0.589789    0.586643   0.987842   0.736127
5         0.557319    0.572761   0.933131   0.709827
6         0.580247    0.580247   1          0.734375
7         0.578483    0.579505   0.99696    0.732961
8         0.583774    0.584087   0.981763   0.732426
9         0.580247    0.580817   0.993921   0.733184
10        0.585538    0.584229   0.990881   0.735062
avg       0.579455    0.581094   0.984802   0.730849
std       0.016189    0.0071421  0.0405066  0.0149061
