Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.525483     0.590361   0.593939   0.592145
2        0.553603     0.616564   0.609091   0.612805
3        0.533451     0.595808   0.604863   0.600302
4        0.53169      0.595745   0.595745   0.595745
5        0.499118     0.571429   0.547112   0.559006
6        0.522046     0.587879   0.589666   0.588771
7        0.488536     0.558559   0.56535    0.561934
8        0.529101     0.594512   0.592705   0.593607
9        0.525573     0.592025   0.586626   0.589313
10       0.511464     0.578788   0.580547   0.579666
avg      0.522006     0.588167   0.586564   0.587329
std      0.0349485    0.0298467  0.0350487  0.0313853
