Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.816733     0.85       0.826389   0.838028
2        0.816733     0.85       0.826389   0.838028
3        0.782869     0.814035   0.805556   0.809773
4        0.808765     0.811688   0.868056   0.838926
5        0.828343     0.836667   0.871528   0.853741
6        0.822355     0.844291   0.847222   0.845754
7        0.822        0.853571   0.832753   0.843034
8        0.81         0.828767   0.843206   0.835924
9        0.812        0.843416   0.825784   0.834507
10       0.806        0.836879   0.8223     0.829525
avg      0.81258      0.836932   0.836918   0.836724
std      0.0237898    0.0278773  0.0393621  0.0219355
