Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.784861     0.78125    0.868056   0.822368
2        0.776892     0.809859   0.798611   0.804196
3        0.749004     0.768212   0.805556   0.786441
4        0.776892     0.77673    0.857639   0.815182
5        0.784431     0.779503   0.871528   0.822951
6        0.760479     0.778146   0.815972   0.79661
7        0.806        0.808442   0.867596   0.836975
8        0.738        0.76       0.794425   0.776831
9        0.758        0.757764   0.850174   0.801314
10       0.772        0.791246   0.818815   0.804795
avg      0.770656     0.781115   0.834837   0.806766
std      0.0375195    0.0338459  0.0589691  0.0343007
