Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.770531     0.730964   0.774194   0.751958
2        0.774818     0.744681   0.756757   0.75067
3        0.774818     0.721154   0.810811   0.763359
4        0.757869     0.73224    0.724324   0.728261
5        0.782082     0.768362   0.735135   0.751381
6        0.757869     0.720207   0.751351   0.73545
7        0.769417     0.764706   0.702703   0.732394
8        0.764563     0.75       0.713514   0.731302
9        0.764563     0.731579   0.751351   0.741333
10       0.803398     0.798851   0.751351   0.774373
avg      0.771993     0.746274   0.747149   0.746048
std      0.0254729    0.0471851  0.0589971  0.0285764
