Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.878486     0.90106    0.885417   0.89317
2        0.85259      0.902256   0.833333   0.866426
3        0.834661     0.862191   0.847222   0.854641
4        0.842629     0.877256   0.84375    0.860177
5        0.878244     0.898246   0.888889   0.893543
6        0.842315     0.866667   0.857639   0.862129
7        0.858        0.902985   0.843206   0.872072
8        0.818        0.876923   0.794425   0.833638
9        0.852        0.88172    0.857143   0.869258
10       0.874        0.914815   0.860627   0.886894
avg      0.853093     0.888412   0.851165   0.869195
std      0.0376131    0.0335823  0.0507335  0.0352374
