Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.697715      0.75817   0.70303    0.72956
2        0.688928      0.719198  0.760606   0.739323
3        0.695423      0.74375   0.723404   0.733436
4        0.695423      0.732143  0.74772    0.73985
5        0.707231      0.727019  0.793313   0.758721
6        0.689594      0.732523  0.732523   0.732523
7        0.684303      0.724551  0.735562   0.730015
8        0.707231      0.698297  0.87234    0.775676
9        0.696649      0.716253  0.790274   0.751445
10       0.738977      0.750693  0.823708   0.785507
avg      0.700147      0.73026   0.768248   0.747605
std      0.0293883     0.033289  0.0982104  0.0377087
