Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.456522    0.451372    0.973118   0.616695
2        0.452785    0.447837    0.951351   0.608997
3        0.455206    0.45        0.972973   0.615385
4        0.472155    0.458015    0.972973   0.622837
5        0.469734    0.4575      0.989189   0.625641
6        0.464891    0.453846    0.956757   0.615652
7        0.468447    0.4575      0.989189   0.625641
8        0.451456    0.448622    0.967568   0.613014
9        0.456311    0.450882    0.967568   0.61512
10       0.480583    0.462916    0.978378   0.628472
avg      0.462809    0.453849    0.971906   0.618745
std      0.0185068   0.00936903  0.0230885  0.0122075
