Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1         0.648506    0.683616   0.733333   0.707602
2         0.690685    0.703704   0.806061   0.751412
3         0.607394    0.631841   0.772036   0.694938
4         0.630282    0.661247   0.741641   0.69914
5         0.659612    0.678947   0.784195   0.727786
6         0.626102    0.653543   0.756839   0.701408
7         0.684303    0.694301   0.81459    0.74965
8         0.62963     0.656168   0.759878   0.704225
9         0.650794    0.671916   0.778116   0.721127
10        0.636684    0.658098   0.778116   0.713092
avg       0.646399    0.669338   0.77248    0.717038
std       0.049659    0.0406337  0.0489439  0.0384664
