Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.788845     0.799342   0.84375    0.820946
2        0.7749       0.790698   0.826389   0.808149
3        0.741036     0.765101   0.791667   0.778157
4        0.752988     0.771523   0.809028   0.789831
5        0.752495     0.764516   0.822917   0.792642
6        0.754491     0.770492   0.815972   0.79258
7        0.756        0.78157    0.797909   0.789655
8        0.738        0.76       0.794425   0.776831
9        0.744        0.769492   0.790941   0.780069
10       0.754        0.777027   0.801394   0.789022
avg      0.755675     0.774976   0.809439   0.791788
std      0.0293564    0.0235107  0.0332876  0.0259393
