Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.665339     0.676471   0.798611   0.732484
2        0.699203     0.70088    0.829861   0.759936
3        0.643426     0.665653   0.760417   0.709887
4        0.64741      0.651226   0.829861   0.729771
5        0.672655     0.674157   0.833333   0.745342
6        0.664671     0.680723   0.784722   0.729032
7        0.658        0.65847    0.839721   0.738132
8        0.698        0.683784   0.881533   0.770167
9        0.678        0.677966   0.836237   0.74883
10       0.648        0.65374    0.8223     0.728395
avg      0.66747      0.672307   0.82166    0.739198
std      0.0376216    0.0289594  0.0633753  0.0330696
