Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.697715     0.727011   0.766667   0.746313
2        0.731107     0.749296   0.806061   0.776642
3        0.742958     0.763689   0.805471   0.784024
4        0.72007      0.733516   0.81155    0.770563
5        0.707231     0.746224   0.75076    0.748485
6        0.737213     0.758621   0.802432   0.779911
7        0.716049     0.753012   0.759878   0.75643
8        0.714286     0.728767   0.808511   0.766571
9        0.744268     0.758427   0.820669   0.788321
10       0.731922     0.749296   0.808511   0.777778
avg      0.724282     0.746786   0.794051   0.769504
std      0.0296808    0.0245336  0.0471998  0.0279495
