Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.683656     0.725904   0.730303   0.728097
2        0.6942       0.720339   0.772727   0.745614
3        0.713028     0.741279   0.775076   0.757801
4        0.681338     0.726994   0.720365   0.723664
5        0.705467     0.746951   0.744681   0.745814
6        0.716049     0.733333   0.802432   0.766328
7        0.712522     0.735795   0.787234   0.760646
8        0.691358     0.712707   0.784195   0.746744
9        0.712522     0.738506   0.781155   0.759232
10       0.75485      0.779412   0.805471   0.792227
avg      0.706499     0.736122   0.770364   0.752617
std      0.0404014    0.0347363  0.0553006  0.0372096
