Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.813708     0.85       0.824242   0.836923
2        0.83304      0.844575   0.872727   0.85842
3        0.841549     0.861027   0.866261   0.863636
4        0.822183     0.82948    0.87234    0.85037
5        0.798942     0.84345    0.802432   0.82243
6        0.825397     0.873377   0.817629   0.844584
7        0.825397     0.846386   0.854103   0.850227
8        0.846561     0.873457   0.860182   0.866769
9        0.839506     0.854167   0.87234    0.863158
10       0.823633     0.837758   0.863222   0.850299
avg      0.826992     0.851368   0.850548   0.850682
std      0.0267642    0.0273736  0.0491754  0.0258244
