Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.78744      0.745      0.801075   0.772021
2        0.786925     0.751295   0.783784   0.767196
3        0.760291     0.728723   0.740541   0.734584
4        0.757869     0.727273   0.735135   0.731183
5        0.77724      0.754098   0.745946   0.75
6        0.77724      0.754098   0.745946   0.75
7        0.776699     0.740933   0.772973   0.756614
8        0.774272     0.744681   0.756757   0.75067
9        0.774272     0.742105   0.762162   0.752
10       0.730583     0.690722   0.724324   0.707124
avg      0.770283     0.737893   0.756864   0.747139
std      0.0320697    0.0360579  0.0447336  0.0356485
