Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.574879     0.538462   0.376344   0.443038
2        0.624697     0.615385   0.432432   0.507937
3        0.583535     0.546763   0.410811   0.469136
4        0.595642     0.572581   0.383784   0.459547
5        0.598063     0.577236   0.383784   0.461039
6        0.598063     0.574803   0.394595   0.467949
7        0.618932     0.601449   0.448649   0.513932
8        0.601942     0.591304   0.367568   0.453333
9        0.582524     0.561905   0.318919   0.406897
10       0.601942     0.601942   0.335135   0.430556
avg      0.598022     0.578183   0.385202   0.461336
std      0.0294675    0.0470559  0.0756143  0.0611743
