Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.512077     0.462963   0.537634   0.497512
2        0.535109     0.480874   0.475676   0.478261
3        0.527845     0.47191    0.454054   0.46281
4        0.460048     0.397849   0.4        0.398922
5        0.498789     0.442708   0.459459   0.450928
6        0.498789     0.438889   0.427027   0.432877
7        0.490291     0.433155   0.437838   0.435484
8        0.543689     0.491803   0.486486   0.48913
9        0.548544     0.497436   0.524324   0.510526
10       0.480583     0.420765   0.416216   0.418478
avg      0.509577     0.453835   0.461872   0.457493
std      0.0550358    0.0616008  0.0853417  0.0691687
