Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.771529     0.804878   0.8        0.802432
2        0.775044     0.797059   0.821212   0.808955
3        0.751761     0.783133   0.790274   0.786687
4        0.755282     0.777778   0.808511   0.792846
5        0.763668     0.794562   0.799392   0.79697
6        0.776014     0.795322   0.826748   0.81073
7        0.744268     0.772189   0.793313   0.782609
8        0.784832     0.810811   0.820669   0.81571
9        0.784832     0.803519   0.832827   0.81791
10       0.770723     0.798799   0.808511   0.803625
avg      0.767795     0.793805   0.810146   0.801847
std      0.0261335    0.0235166  0.0277519  0.0226971
