Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.629482     0.632124   0.847222   0.724036
2        0.613546     0.629121   0.795139   0.702454
3        0.589641     0.60733    0.805556   0.692537
4        0.629482     0.636364   0.826389   0.719033
5        0.622754     0.6313     0.826389   0.715789
6        0.628743     0.637097   0.822917   0.718182
7        0.594        0.608247   0.8223     0.699259
8        0.6          0.611253   0.832753   0.705015
9        0.624        0.6313     0.829268   0.716867
10       0.588        0.60686    0.801394   0.690691
avg      0.611965     0.6231     0.820933   0.708386
std      0.0328481    0.0244734  0.0299948  0.0225844
