Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.52657      0.474747   0.505376   0.489583
2        0.51816      0.462766   0.47027    0.466488
3        0.515738     0.461538   0.486486   0.473684
4        0.501211     0.443243   0.443243   0.443243
5        0.452785     0.377246   0.340541   0.357955
6        0.549637     0.497238   0.486486   0.491803
7        0.507282     0.448864   0.427027   0.437673
8        0.533981     0.481675   0.497297   0.489362
9        0.519417     0.463687   0.448649   0.456044
10       0.51699      0.462366   0.464865   0.463612
avg      0.514177     0.457337   0.457024   0.456945
std      0.0483386    0.0609438  0.0909091  0.0751159
