Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.741036     0.772414   0.777778   0.775087
2        0.727092     0.732308   0.826389   0.776509
3        0.695219     0.71987    0.767361   0.742857
4        0.691235     0.716612   0.763889   0.739496
5        0.724551     0.725904   0.836806   0.777419
6        0.750499     0.774411   0.798611   0.786325
7        0.71         0.748252   0.745645   0.746946
8        0.724        0.729231   0.825784   0.77451
9        0.724        0.742671   0.794425   0.767677
10       0.728        0.75945    0.770035   0.764706
avg      0.721563     0.742112   0.790672   0.765153
std      0.0349673    0.0398484  0.0586321  0.0310313
