Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.821256     0.78       0.83871    0.80829
2        0.789346     0.747475   0.8        0.772846
3        0.791768     0.767568   0.767568   0.767568
4        0.753027     0.719577   0.735135   0.727273
5        0.791768     0.773481   0.756757   0.765027
6        0.818402     0.795699   0.8        0.797844
7        0.75         0.718085   0.72973    0.723861
8        0.786408     0.753927   0.778378   0.765957
9        0.781553     0.762431   0.745946   0.754098
10       0.815534     0.78836    0.805405   0.796791
avg      0.789906     0.76066    0.775763   0.767956
std      0.0468763    0.0502152  0.0666627  0.0535903
