Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1         0.719807     0.696629  0.666667   0.681319
2         0.733656     0.732919  0.637838   0.682081
3         0.782082     0.777778  0.718919   0.747191
4         0.801453     0.85034   0.675676   0.753012
5         0.743341     0.745342  0.648649   0.693642
6         0.745763     0.75974   0.632432   0.690265
7         0.73301      0.738854  0.627027   0.678363
8         0.737864     0.754967  0.616216   0.678571
9         0.759709     0.755952  0.686486   0.719547
10        0.745146     0.766667  0.621622   0.686567
avg       0.750183     0.757919  0.653153   0.701056
std       0.046781     0.07465   0.0627741  0.0541157
