Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.835749     0.827778   0.801075   0.814208
2        0.849879     0.859649   0.794595   0.825843
3        0.820823     0.828402   0.756757   0.79096
4        0.825666     0.842424   0.751351   0.794286
5        0.837772     0.864198   0.756757   0.806916
6        0.825666     0.830409   0.767568   0.797753
7        0.813107     0.817647   0.751351   0.783099
8        0.786408     0.797546   0.702703   0.747126
9        0.832524     0.829545   0.789189   0.808864
10       0.834951     0.846154   0.772973   0.80791
avg      0.826255     0.834375   0.764432   0.797696
std      0.0327822    0.0373424  0.0537354  0.0410185
