Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.843585     0.914089   0.806061   0.856683
2        0.859402     0.900641   0.851515   0.875389
3        0.829225     0.881579   0.81459    0.846761
4        0.853873     0.89172    0.851064   0.870918
5        0.844797     0.908475   0.81459    0.858974
6        0.846561     0.895425   0.832827   0.862992
7        0.834215     0.873016   0.835866   0.854037
8        0.857143     0.885093   0.866261   0.875576
9        0.862434     0.916944   0.838906   0.87619
10       0.853616     0.884375   0.860182   0.872111
avg      0.848485     0.895136   0.837186   0.864963
std      0.0205908    0.0278893  0.0389143  0.0199292
