Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.509666     0.576577   0.581818   0.579186
2        0.532513     0.593567   0.615152   0.604167
3        0.505282     0.577419   0.544073   0.56025
4        0.56162      0.611111   0.668693   0.638607
5        0.530864     0.59633    0.592705   0.594512
6        0.479718     0.549419   0.574468   0.561664
7        0.486772     0.556886   0.56535    0.561086
8        0.548501     0.610272   0.613982   0.612121
9        0.502646     0.568513   0.592705   0.580357
10       0.518519     0.585366   0.583587   0.584475
avg      0.51761      0.582546   0.593253   0.587642
std      0.0494591    0.0395919  0.0644216  0.0480911
