Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.585237     0.595142   0.890909   0.713592
2        0.581722     0.581272   0.99697    0.734375
3        0.572183     0.584314   0.905775   0.710369
4        0.579225     0.580645   0.984802   0.730552
5        0.557319     0.575875   0.899696   0.702254
6        0.589065     0.588561   0.969605   0.732491
7        0.582011     0.590909   0.908815   0.716168
8        0.594356     0.596869   0.927052   0.72619
9        0.57672      0.58018    0.978723   0.728507
10       0.587302     0.58467    0.99696    0.737079
avg      0.580514     0.585844   0.945931   0.723158
std      0.0195987    0.0130251  0.0821398  0.0222719
