Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.876977     0.919355   0.863636   0.890625
2        0.859402     0.888199   0.866667   0.877301
3        0.864437     0.886503   0.878419   0.882443
4        0.875        0.898148   0.884498   0.891271
5        0.843034     0.897351   0.823708   0.858954
6        0.851852     0.891374   0.848024   0.869159
7        0.857143     0.882716   0.869301   0.875957
8        0.876543     0.913738   0.869301   0.890966
9        0.878307     0.898773   0.890578   0.894656
10       0.850088     0.871951   0.869301   0.870624
avg      0.863278     0.894811   0.866343   0.880196
std      0.0244563    0.0267382  0.0360541  0.0223837
