Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.5           0.56229   0.579861   0.57094
2        0.527888      0.585284  0.607639   0.596252
3        0.5           0.562712  0.576389   0.569468
4        0.517928      0.58156   0.569444   0.575439
5        0.50499       0.569444  0.569444   0.569444
6        0.526946      0.58885   0.586806   0.587826
7        0.492         0.555932  0.571429   0.563574
8        0.504         0.569892  0.554007   0.561837
9        0.524         0.582492  0.602787   0.592466
10       0.5           0.562712  0.578397   0.570447
avg      0.509775      0.572117  0.57962    0.575769
std      0.0249048     0.021888  0.0304344  0.0229606
