Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.768924     0.798611   0.798611   0.798611
2        0.727092     0.761246   0.763889   0.762565
3        0.7251       0.78626    0.715278   0.749091
4        0.772908     0.797945   0.809028   0.803448
5        0.730539     0.766551   0.763889   0.765217
6        0.736527     0.786765   0.743056   0.764286
7        0.754        0.788732   0.780488   0.784588
8        0.74         0.779359   0.763066   0.771127
9        0.74         0.767918   0.783972   0.775862
10       0.786        0.816901   0.808362   0.812609
avg      0.748109     0.785029   0.772964   0.778741
std      0.0403199    0.0323569  0.0561216  0.0389124
