Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.482072     0.546053   0.576389   0.560811
2        0.511952     0.573379   0.583333   0.578313
3        0.539841     0.595318   0.618056   0.606474
4        0.507968     0.576208   0.538194   0.556553
5        0.53493      0.590759   0.621528   0.605753
6        0.497006     0.558065   0.600694   0.578595
7        0.566        0.627737   0.599303   0.613191
8        0.498        0.564286   0.550523   0.557319
9        0.494        0.560284   0.550523   0.55536
10       0.474        0.540816   0.554007   0.547332
avg      0.510577     0.57329    0.579255   0.57597
std      0.0540275    0.0491605  0.0571084  0.0465395
