Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.480676     0.42246    0.424731   0.423592
2        0.53753      0.482955   0.459459   0.470914
3        0.510896     0.455959   0.475676   0.465608
4        0.469734     0.411458   0.427027   0.419098
5        0.510896     0.454545   0.459459   0.456989
6        0.539952     0.484472   0.421622   0.450867
7        0.531553     0.474684   0.405405   0.437318
8        0.480583     0.420765   0.416216   0.418478
9        0.485437     0.427027   0.427027   0.427027
10       0.487864     0.431579   0.443243   0.437333
avg      0.503512     0.44659    0.435987   0.440723
std      0.0495589    0.0521122  0.0426591  0.0366871
