Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.729084     0.746753   0.798611   0.771812
2        0.741036     0.770548   0.78125    0.775862
3        0.695219     0.725753   0.753472   0.739353
4        0.731076     0.757576   0.78125    0.769231
5        0.736527     0.761745   0.788194   0.774744
6        0.740519     0.759868   0.802083   0.780405
7        0.756        0.770492   0.818815   0.793919
8        0.722        0.74026    0.794425   0.766387
9        0.738        0.751613   0.811847   0.78057
10       0.748        0.757188   0.825784   0.79
avg      0.733746     0.75418    0.795573   0.774228
std      0.0314606    0.0261365  0.0400394  0.0284702
