Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.652174     0.62963    0.548387   0.586207
2        0.673123     0.662338   0.551351   0.60177
3        0.670702     0.650307   0.572973   0.609195
4        0.653753     0.647887   0.497297   0.562691
5        0.64891      0.640845   0.491892   0.556575
6        0.673123     0.676056   0.518919   0.587156
7        0.67233      0.681159   0.508108   0.582043
8        0.657767     0.65493    0.502703   0.568807
9        0.662621     0.661972   0.508108   0.574924
10       0.650485     0.647482   0.486486   0.555556
avg      0.661499     0.655261   0.518622   0.578492
std      0.0191226    0.0296824  0.0550917  0.0346086
