Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.818841     0.824561   0.758065   0.789916
2        0.830508     0.875817   0.724324   0.792899
3        0.83293      0.837209   0.778378   0.806723
4        0.823245     0.837349   0.751351   0.792023
5        0.811138     0.80226    0.767568   0.78453
6        0.794189     0.808642   0.708108   0.755043
7        0.788835     0.791667   0.718919   0.753541
8        0.769417     0.77439    0.686486   0.727794
9        0.786408     0.77095    0.745946   0.758242
10       0.825243     0.83432    0.762162   0.79661
avg      0.808075     0.815717   0.740131   0.775732
std      0.0414634    0.0616044  0.0558044  0.0479978
