Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.47343       0.459391  0.973118   0.624138
2        0.452785      0.448363  0.962162   0.611684
3        0.464891      0.455     0.983784   0.622222
4        0.491525      0.4677    0.978378   0.632867
5        0.464891      0.453368  0.945946   0.61296
6        0.472155      0.457584  0.962162   0.620209
7        0.470874      0.458647  0.989189   0.626712
8        0.453883      0.449749  0.967568   0.614065
9        0.463592      0.454315  0.967568   0.618307
10       0.485437      0.465296  0.978378   0.630662
avg      0.469346      0.456941  0.970825   0.621383
std      0.0233574     0.011724  0.0237892  0.0139154
