Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.731107     0.752137   0.8        0.77533
2        0.752197     0.761773   0.833333   0.795948
3        0.748239     0.773529   0.799392   0.786248
4        0.734155     0.754286   0.802432   0.777614
5        0.73545      0.77709    0.762918   0.769939
6        0.758377     0.785714   0.802432   0.793985
7        0.738977     0.768546   0.787234   0.777778
8        0.733686     0.751412   0.808511   0.778917
9        0.746032     0.765043   0.81155    0.787611
10       0.772487     0.795858   0.817629   0.806597
avg      0.745071     0.768539   0.802543   0.784997
std      0.0250112    0.0280203  0.0352891  0.0213489
