Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.802789     0.798107   0.878472   0.836364
2        0.798805     0.812709   0.84375    0.827939
3        0.750996     0.765472   0.815972   0.789916
4        0.770916     0.789298   0.819444   0.804089
5        0.788423     0.780864   0.878472   0.826797
6        0.804391     0.8125     0.857639   0.834459
7        0.82         0.83165    0.860627   0.84589
8        0.756        0.77592    0.808362   0.791809
9        0.792        0.80602    0.839721   0.822526
10       0.786        0.808219   0.8223     0.815199
avg      0.787032     0.798076   0.842476   0.819499
std      0.0415889    0.0381711  0.0488417  0.0359792
