Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1         0.719124    0.709402   0.864583   0.779343
2         0.703187    0.708709   0.819444   0.760064
3         0.713147    0.719512   0.819444   0.766234
4         0.695219    0.697947   0.826389   0.756757
5         0.712575    0.711765   0.840278   0.770701
6         0.716567    0.714706   0.84375    0.773885
7         0.702       0.704142   0.829268   0.7616
8         0.704       0.708709   0.8223     0.76129
9         0.718       0.707386   0.867596   0.779343
10        0.692       0.6997     0.811847   0.751613
avg       0.707582    0.708198   0.83449    0.766083
std       0.018301    0.0123201  0.0364845  0.0179946
