Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.74502      0.751572   0.829861   0.788779
2        0.772908     0.791946   0.819444   0.805461
3        0.721116     0.745033   0.78125    0.762712
4        0.719124     0.739414   0.788194   0.763025
5        0.724551     0.746711   0.788194   0.766892
6        0.754491     0.779661   0.798611   0.789022
7        0.742        0.759868   0.804878   0.781726
8        0.71         0.732026   0.780488   0.755481
9        0.74         0.743034   0.836237   0.786885
10       0.766        0.787162   0.811847   0.799314
avg      0.739521     0.757643   0.803901   0.77993
std      0.0396332    0.0402749  0.0379887  0.0321878
