Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.78744      0.752577   0.784946   0.768421
2        0.760291     0.726316   0.745946   0.736
3        0.755448     0.71       0.767568   0.737662
4        0.774818     0.744681   0.756757   0.75067
5        0.794189     0.794118   0.72973    0.760563
6        0.765133     0.72449    0.767568   0.745407
7        0.76699      0.751412   0.718919   0.734807
8        0.759709     0.755952   0.686486   0.719547
9        0.791262     0.776536   0.751351   0.763736
10       0.791262     0.782857   0.740541   0.761111
avg      0.774654     0.751894   0.744981   0.747792
std      0.0285985    0.0512965  0.0534822  0.0299488
