Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.660808     0.678851   0.787879   0.729313
2        0.683656     0.692308   0.818182   0.75
3        0.651408     0.659367   0.823708   0.732432
4        0.647887     0.666667   0.784195   0.72067
5        0.689594     0.696658   0.823708   0.754875
6        0.661376     0.671679   0.81459    0.736264
7        0.66843      0.677582   0.817629   0.741047
8        0.66843      0.679389   0.81155    0.739612
9        0.666667     0.681347   0.799392   0.735664
10       0.671958     0.672289   0.848024   0.75
avg      0.667021     0.677614   0.812886   0.738988
std      0.0244544    0.0211051  0.0355236  0.0199011
