Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.654589     0.63354    0.548387   0.587896
2        0.675545     0.666667   0.551351   0.60355
3        0.670702     0.650307   0.572973   0.609195
4        0.653753     0.641892   0.513514   0.570571
5        0.641646     0.629371   0.486486   0.54878
6        0.668281     0.666667   0.518919   0.583587
7        0.665049     0.674074   0.491892   0.56875
8        0.660194     0.657343   0.508108   0.573171
9        0.667476     0.666667   0.518919   0.583587
10       0.645631     0.638298   0.486486   0.552147
avg      0.660287     0.652482   0.519704   0.578123
std      0.0211372    0.0303608  0.0559149  0.0372688
