Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.768116     0.767857   0.693548   0.728814
2        0.784504     0.8        0.691892   0.742029
3        0.786925     0.793939   0.708108   0.748571
4        0.803874     0.861111   0.67027    0.753799
5        0.779661     0.801282   0.675676   0.733138
6        0.791768     0.811321   0.697297   0.75
7        0.747573     0.745455   0.664865   0.702857
8        0.762136     0.780645   0.654054   0.711765
9        0.783981     0.789157   0.708108   0.746439
10       0.781553     0.798742   0.686486   0.738372
avg      0.779009     0.794951   0.685031   0.735578
std      0.0303125    0.0570905  0.0346926  0.0320354
