Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.84007      0.894389   0.821212   0.85624
2        0.817223     0.859873   0.818182   0.838509
3        0.866197     0.899054   0.866261   0.882353
4        0.846831     0.875776   0.857143   0.866359
5        0.864198     0.909091   0.851064   0.879121
6        0.869489     0.909968   0.860182   0.884375
7        0.839506     0.865031   0.857143   0.861069
8        0.821869     0.851852   0.838906   0.845329
9        0.865961     0.88685    0.881459   0.884146
10       0.832451     0.856707   0.854103   0.855403
avg      0.84638      0.880859   0.850566   0.865291
std      0.0366593    0.0416456  0.0370881  0.0317268
