Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.799649     0.839623   0.809091   0.824074
2        0.790861     0.818731   0.821212   0.81997
3        0.818662     0.855346   0.826748   0.840804
4        0.808099     0.825444   0.848024   0.836582
5        0.823633     0.856698   0.835866   0.846154
6        0.814815     0.856688   0.817629   0.836703
7        0.830688     0.845697   0.866261   0.855856
8        0.821869     0.851852   0.838906   0.845329
9        0.825397     0.848485   0.851064   0.849772
10       0.825397     0.840237   0.863222   0.851574
avg      0.815907     0.84388    0.837802   0.840682
std      0.0241265    0.0249128  0.0367159  0.0220956
