Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.705314     0.688235   0.629032   0.657303
2        0.680387     0.644809   0.637838   0.641304
3        0.675545     0.656442   0.578378   0.614943
4        0.736077     0.760274   0.6        0.670695
5        0.66586      0.642424   0.572973   0.605714
6        0.677966     0.671053   0.551351   0.605341
7        0.665049     0.640719   0.578378   0.607955
8        0.708738     0.704403   0.605405   0.651163
9        0.669903     0.638418   0.610811   0.624309
10       0.684466     0.660819   0.610811   0.634831
avg      0.68693      0.670759   0.597498   0.631356
std      0.0433616    0.0726051  0.0510179  0.0443852
