Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.63745      0.643243   0.826389   0.723404
2        0.641434     0.650838   0.809028   0.721362
3        0.615538     0.630854   0.795139   0.703533
4        0.631474     0.638814   0.822917   0.719272
5        0.634731     0.655786   0.767361   0.7072
6        0.644711     0.658046   0.795139   0.720126
7        0.624        0.6313     0.829268   0.716867
8        0.608        0.626039   0.787456   0.697531
9        0.65         0.649733   0.84669    0.73525
10       0.61         0.628492   0.783972   0.697674
avg      0.629734     0.641314   0.806336   0.714222
std      0.0279689    0.0225247  0.0467546  0.0233306
