Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.504831     0.446927   0.430108   0.438356
2        0.51816      0.465347   0.508108   0.485788
3        0.486683     0.428571   0.437838   0.433155
4        0.527845     0.471264   0.443243   0.456825
5        0.527845     0.472222   0.459459   0.465753
6        0.469734     0.407609   0.405405   0.406504
7        0.538835     0.486034   0.47027    0.478022
8        0.507282     0.447059   0.410811   0.428169
9        0.492718     0.429412   0.394595   0.411268
10       0.519417     0.461988   0.427027   0.44382
avg      0.509335     0.451643   0.438686   0.444766
std      0.0405809    0.0460209  0.0642128  0.0506479
