Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.782869     0.797342   0.833333   0.814941
2        0.768924     0.781046   0.829861   0.804714
3        0.737052     0.763514   0.784722   0.773973
4        0.749004     0.773649   0.795139   0.784247
5        0.768463     0.775641   0.840278   0.806667
6        0.746507     0.767442   0.802083   0.78438
7        0.74         0.773519   0.773519   0.773519
8        0.74         0.762542   0.794425   0.778157
9        0.748        0.767442   0.804878   0.785714
10       0.764        0.790378   0.801394   0.795848
avg      0.754482     0.775251   0.805963   0.790216
std      0.0293893    0.0217016  0.0414194  0.0275814
