Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.625659      0.617234  0.933333   0.743064
2        0.650264      0.636175  0.927273   0.754624
3        0.619718      0.616495  0.908815   0.734644
4        0.640845      0.633262  0.902736   0.744361
5        0.640212      0.631579  0.911854   0.746269
6        0.654321      0.638831  0.930091   0.757426
7        0.641975      0.62963   0.930091   0.75092
8        0.631393      0.622951  0.924012   0.744186
9        0.633157      0.627368  0.905775   0.741294
10       0.638448      0.628099  0.924012   0.747847
avg      0.637599      0.628162  0.919799   0.746463
std      0.0199778     0.014159  0.0215221  0.0125886
