Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.794821     0.797428   0.861111   0.828047
2        0.788845     0.797386   0.847222   0.821549
3        0.756972     0.764331   0.833333   0.797342
4        0.760956     0.78       0.8125     0.795918
5        0.794411     0.793651   0.868056   0.829187
6        0.798403     0.808581   0.850694   0.829103
7        0.798        0.82069    0.829268   0.824957
8        0.748        0.765677   0.808362   0.786441
9        0.784        0.785942   0.857143   0.82
10       0.782        0.802721   0.8223     0.812392
avg      0.780641     0.791641   0.838999   0.814494
std      0.0352198    0.0341294  0.0395641  0.0298878
