Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.629482     0.616972   0.934028   0.743094
2        0.615538     0.6097     0.916667   0.732316
3        0.621514     0.612903   0.923611   0.736842
4        0.63745      0.623832   0.927083   0.74581
5        0.612774     0.614634   0.875      0.722063
6        0.654691     0.638554   0.920139   0.753912
7        0.628        0.618267   0.919861   0.739496
8        0.614        0.608295   0.919861   0.732316
9        0.642        0.630435   0.909408   0.74465
10       0.642        0.627358   0.926829   0.748242
avg      0.629745     0.620095   0.917249   0.739874
std      0.0267629    0.0185074  0.0308499  0.0176217
