Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.671315     0.676218   0.819444   0.740973
2        0.665339     0.692308   0.75       0.72
3        0.651394     0.677116   0.75       0.711697
4        0.653386     0.6875     0.725694   0.706081
5        0.640719     0.682432   0.701389   0.691781
6        0.694611     0.730375   0.743056   0.736661
7        0.65         0.678344   0.74216    0.708819
8        0.676        0.688822   0.794425   0.737864
9        0.668        0.69967    0.738676   0.718644
10       0.646        0.683333   0.714286   0.698467
avg      0.661676     0.689612   0.747913   0.717099
std      0.0311891    0.0305199  0.0669919  0.0322612
