Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.748682     0.775811   0.79697    0.786248
2        0.757469     0.794479   0.784848   0.789634
3        0.748239     0.785276   0.778116   0.781679
4        0.751761     0.773256   0.808511   0.79049
5        0.726631     0.780645   0.735562   0.757433
6        0.747795     0.785276   0.778116   0.781679
7        0.726631     0.765244   0.762918   0.764079
8        0.753086     0.767705   0.823708   0.794721
9        0.763668     0.803738   0.784195   0.793846
10       0.777778     0.806647   0.81155    0.809091
avg      0.750174     0.783808   0.786449   0.78489
std      0.0291782    0.0270274  0.0486021  0.0284664
