Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.810193      0.842593  0.827273   0.834862
2        0.820738      0.839286  0.854545   0.846847
3        0.797535      0.818452  0.835866   0.827068
4        0.815141      0.843558  0.835866   0.839695
5        0.820106      0.851393  0.835866   0.843558
6        0.811287      0.842593  0.829787   0.836141
7        0.816578      0.846154  0.835866   0.840979
8        0.804233      0.824405  0.841945   0.833083
9        0.825397      0.852761  0.844985   0.848855
10       0.813051      0.840979  0.835866   0.838415
avg      0.813426      0.840217  0.837787   0.83895
std      0.0155751     0.020641  0.0147369  0.0124399
