Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.721116     0.737179   0.798611   0.766667
2        0.760956     0.785714   0.802083   0.793814
3        0.707171     0.718266   0.805556   0.759411
4        0.711155     0.717325   0.819444   0.764992
5        0.728543     0.736025   0.822917   0.777049
6        0.754491     0.772277   0.8125     0.791878
7        0.768        0.764706   0.860627   0.809836
8        0.702        0.714286   0.801394   0.755337
9        0.728        0.745928   0.797909   0.771044
10       0.726        0.730061   0.829268   0.776509
avg      0.730743     0.742177   0.815031   0.776654
std      0.0436252    0.0469042  0.0367475  0.0325359
