Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.822496     0.858934   0.830303   0.844376
2        0.820738     0.851852   0.836364   0.844037
3        0.829225     0.855828   0.848024   0.851908
4        0.825704     0.85061    0.848024   0.849315
5        0.784832     0.865724   0.744681   0.800654
6        0.814815     0.856688   0.817629   0.836703
7        0.84127      0.889251   0.829787   0.858491
8        0.839506     0.862805   0.860182   0.861492
9        0.857143     0.907895   0.838906   0.872038
10       0.837743     0.860182   0.860182   0.860182
avg      0.827347     0.865977   0.831408   0.84792
std      0.0367452    0.0347392  0.0632589  0.0370588
