Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.842629     0.849498   0.881944   0.865417
2        0.826693     0.857651   0.836806   0.8471
3        0.832669     0.854167   0.854167   0.854167
4        0.844622     0.85473    0.878472   0.866438
5        0.842315     0.840391   0.895833   0.867227
6        0.844311     0.862069   0.868056   0.865052
7        0.828        0.83612    0.87108    0.853242
8        0.808        0.825939   0.843206   0.834483
9        0.834        0.844595   0.87108    0.857633
10       0.802        0.830986   0.8223     0.82662
avg      0.830524     0.845615   0.862294   0.853738
std      0.0285173    0.0228608  0.0430812  0.0266344
