Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.785024     0.736585   0.811828   0.772379
2        0.801453     0.758794   0.816216   0.786458
3        0.779661     0.747368   0.767568   0.757333
4        0.808717     0.781915   0.794595   0.788204
5        0.803874     0.805882   0.740541   0.771831
6        0.789346     0.766304   0.762162   0.764228
7        0.793689     0.771739   0.767568   0.769648
8        0.779126     0.767045   0.72973    0.747922
9        0.762136     0.727749   0.751351   0.739362
10       0.822816     0.785714   0.832432   0.808399
avg      0.792584     0.76491    0.777399   0.770576
std      0.0330114    0.0446418  0.0655785  0.0384834
