Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.792271     0.777778   0.752688   0.765027
2        0.779661     0.797468   0.681081   0.734694
3        0.779661     0.776471   0.713514   0.743662
4        0.794189     0.790698   0.735135   0.761905
5        0.755448     0.776316   0.637838   0.700297
6        0.803874     0.809524   0.735135   0.770538
7        0.793689     0.790698   0.735135   0.761905
8        0.781553     0.777778   0.718919   0.747191
9        0.769417     0.764706   0.702703   0.732394
10       0.81068      0.828221   0.72973    0.775862
avg      0.786044     0.788966   0.714188   0.749348
std      0.0310006    0.0357599  0.0636249  0.0431666
