Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1        0.579681     0.579055   0.979167   0.727742
2        0.579681     0.57971    0.972222   0.726329
3        0.581673     0.58159    0.965278   0.725849
4        0.575697     0.57732    0.972222   0.72445
5        0.59481      0.601432   0.875      0.712871
6        0.57485      0.578947   0.954861   0.720839
7        0.582        0.580247   0.982578   0.729625
8        0.576        0.579281   0.954704   0.721053
9        0.592        0.585921   0.986063   0.735065
10       0.594        0.588235   0.97561    0.733945
avg      0.583039     0.583174   0.96177    0.725777
std      0.0146288    0.0137673  0.0612366  0.0124416
