Fold      Accuracy    Precision     Recall         F1
------  ----------  -----------  ---------  ---------
1         0.717391    0.692737   0.666667   0.679452
2         0.711864    0.717105   0.589189   0.646884
3         0.714286    0.698225   0.637838   0.666667
4         0.702179    0.724638   0.540541   0.619195
5         0.709443    0.707006   0.6        0.649123
6         0.726392    0.706897   0.664865   0.685237
7         0.691748    0.670588   0.616216   0.642254
8         0.730583    0.768116   0.572973   0.656347
9         0.723301    0.700565   0.67027    0.685083
10        0.694175    0.687898   0.583784   0.631579
avg       0.712136    0.707378   0.614234   0.656182
std       0.024861    0.0496366  0.0846264  0.0430559
